time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007315,-0.7709,0.5229,-0.1189,0.94
0.007677,-0.5702,0.4985,-0.2249,0.79
0.017500,-0.0704,0.3539,-0.2926,0.46
0.033734,0.4105,-0.0109,0.0009,0.41
0.034857,0.4573,-0.0965,0.1534,0.49
0.051883,0.4253,-0.1529,0.1599,0.48
0.052121,0.3018,0.0375,0.0516,0.31
0.064849,0.1453,0.1684,-0.0779,0.24
0.084896,-0.1662,0.2817,-0.2309,0.40
0.085078,-0.2149,0.2318,-0.2377,0.40
0.098947,-0.1761,0.1230,-0.1942,0.29
0.107359,-0.0671,0.0341,0.0121,0.08
0.115888,-0.0282,-0.0161,0.2062,0.21
0.123269,-0.0043,0.0022,0.1896,0.19
0.131940,0.0771,-0.0235,0.0871,0.12
0.149239,0.3304,-0.1630,0.0262,0.37
0.155226,0.3829,-0.2126,-0.0619,0.44
0.165876,0.2744,-0.1690,-0.1094,0.34
0.171580,0.1726,-0.0884,-0.0159,0.19
0.180097,0.0517,0.0135,0.1061,0.12
0.199707,-0.2404,0.1269,0.2783,0.39
0.203678,-0.3391,0.1231,0.3143,0.48
0.215848,-0.3538,0.0659,0.2642,0.45
0.232414,-0.3123,-0.0354,0.0442,0.32
0.235575,-0.2310,-0.0891,-0.0779,0.26
0.245584,-0.1079,-0.0901,-0.2097,0.25
0.251901,-0.0196,-0.0737,-0.2673,0.28
0.265585,0.0744,-0.0511,-0.2556,0.27
0.281115,0.1707,0.0498,-0.0434,0.18
0.283959,0.1838,0.0773,0.0927,0.22
0.295777,0.2604,0.0714,0.2073,0.34
0.300122,0.2850,0.0675,0.2094,0.36
0.313069,0.2576,0.1083,0.1734,0.33
0.331379,0.1952,0.0810,0.0011,0.21
0.332147,0.0159,0.1263,-0.1328,0.18
0.340331,-0.0525,0.1722,-0.1853,0.26
0.356433,-0.1006,0.0378,-0.2111,0.24
0.365701,-0.1659,-0.0086,-0.1797,0.24
0.372433,-0.2100,-0.0275,-0.0859,0.23
0.380614,-0.1674,-0.0661,0.0892,0.20
0.396940,-0.0714,-0.0666,0.3127,0.33
0.404277,-0.0374,-0.0144,0.2725,0.28
0.412757,0.0372,0.0481,0.1821,0.19
0.420561,0.0760,0.0826,0.1038,0.15
0.431711,0.0524,0.0779,0.0231,0.10
0.449077,0.0235,0.0424,-0.0881,0.10
0.452396,0.0319,-0.0023,-0.0515,0.06
0.465398,0.0465,-0.0590,0.0404,0.09
0.479403,0.0979,-0.1393,0.1668,0.24
0.484957,0.1779,-0.1603,0.2011,0.31
0.499119,0.2422,-0.1192,0.1657,0.32
0.501194,0.2707,-0.0646,0.1180,0.30
0.515825,0.2487,0.0125,0.0389,0.25
0.530679,0.1412,0.0966,-0.0909,0.19
0.532978,0.0660,0.0676,-0.0675,0.12
0.548988,0.0526,-0.0036,-0.0201,0.06
0.562985,0.0100,-0.1379,0.1178,0.18
0.565117,-0.0366,-0.1970,0.1344,0.24
0.573012,-0.0780,-0.1891,0.1273,0.24
0.583187,-0.1650,-0.1435,0.0868,0.24
0.597944,-0.2589,-0.0143,-0.0487,0.26
0.605286,-0.2202,0.0578,-0.0770,0.24
0.614387,-0.2054,0.1321,-0.0744,0.26
0.621670,-0.2044,0.1731,-0.0264,0.27
0.632150,-0.1525,0.1452,0.0501,0.22
0.648153,-0.0834,0.0484,0.1836,0.21
0.653567,-0.0907,0.0340,0.2336,0.25
0.665188,-0.0948,0.0314,0.2550,0.27
0.679995,-0.0985,0.0675,0.1161,0.17
0.685809,-0.1276,0.0920,0.0612,0.17
0.697525,-0.1527,0.0993,0.0352,0.19
0.701822,-0.1629,0.0967,-0.0052,0.19
0.713891,-0.1517,0.0586,-0.0024,0.16
0.744062,-0.0539,-0.0317,0.0577,0.09
0.757813,-0.0112,-0.1162,0.1334,0.18
0.765814,0.0607,-0.0827,0.0802,0.13
0.780317,0.1102,-0.0948,0.0462,0.15
0.798111,0.1817,-0.0737,0.0309,0.20
0.798426,0.2052,-0.0456,-0.0245,0.21
0.805870,0.2110,-0.0084,-0.0701,0.22
0.814351,0.2106,0.0812,-0.0822,0.24
0.830715,0.1514,0.1597,0.0160,0.22
0.838213,0.1241,0.1634,0.0566,0.21
0.849003,0.0999,0.1172,0.0970,0.18
0.854430,0.0990,0.0117,0.1039,0.14
0.865236,0.0694,-0.1052,0.0533,0.14
0.879778,0.0027,-0.2318,0.0146,0.23
0.886950,-0.0255,-0.2039,-0.0235,0.21
0.897200,-0.0322,-0.1310,-0.0543,0.15
0.913107,0.0129,0.0603,-0.1251,0.14
0.918957,0.0241,0.1359,-0.1652,0.22
0.932244,0.0049,0.2180,-0.1768,0.28
0.934701,-0.0083,0.2692,-0.1648,0.32
0.947118,-0.0559,0.2707,-0.0979,0.29
0.963312,-0.2397,0.1635,0.1021,0.31
0.966890,-0.2604,0.0363,0.2523,0.36
0.981237,-0.2824,-0.0803,0.3571,0.46
0.996597,-0.3874,-0.2325,0.4979,0.67
0.999066,-0.4286,-0.2309,0.5125,0.71
1.013393,-0.4884,-0.1726,0.4675,0.70
1.015001,-0.4645,-0.1159,0.4012,0.62
1.031193,-0.4074,-0.0699,0.2775,0.50
1.039118,-0.4037,-0.0751,0.1134,0.43
1.047485,-0.4158,-0.0470,0.0082,0.42
1.056101,-0.4341,-0.0100,-0.1306,0.45
1.071623,-0.3023,0.0996,-0.3080,0.44
1.080492,-0.1457,0.1766,-0.3753,0.44
1.087473,0.0668,0.2004,-0.3760,0.43
1.096321,0.2792,0.1784,-0.3511,0.48
1.112687,0.7261,-0.0501,-0.1940,0.75
1.119718,0.8609,-0.2097,-0.1931,0.91
1.131858,0.8999,-0.3088,-0.2088,0.97
