time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004459,-0.0407,0.0257,-0.0551,0.07
0.020416,0.0123,-0.0183,-0.0255,0.03
0.026524,0.0618,-0.0723,0.0115,0.10
0.034646,0.1105,-0.0835,0.0226,0.14
0.049846,0.1697,-0.0596,-0.0188,0.18
0.057789,0.1594,-0.0172,-0.0831,0.18
0.076934,0.1286,0.0777,-0.1112,0.19
0.077274,0.1128,0.0558,-0.0530,0.14
0.083586,0.0728,0.0415,0.0291,0.09
0.099559,-0.0313,-0.0182,0.0779,0.09
0.106050,-0.1062,-0.0701,-0.0204,0.13
0.115989,-0.0439,-0.1629,-0.0952,0.19
0.132918,-0.0852,-0.1512,-0.1624,0.24
0.138302,-0.0796,-0.0794,-0.1406,0.18
0.149272,-0.0333,0.0069,-0.1093,0.11
0.154239,0.0876,0.0113,-0.0324,0.09
0.166401,0.2410,-0.0129,-0.0055,0.24
0.182522,0.2033,-0.0344,0.0347,0.21
0.186246,0.1122,-0.0321,0.0872,0.15
0.199220,-0.0095,-0.0107,0.0949,0.10
0.217525,-0.1223,-0.0024,-0.0114,0.12
0.218430,-0.1548,-0.0011,-0.0807,0.17
0.227042,-0.1822,-0.0094,-0.1218,0.22
0.243900,-0.1929,0.0299,-0.1443,0.24
0.244302,-0.2041,0.0604,-0.0622,0.22
0.255396,-0.1887,0.0844,-0.0475,0.21
0.266921,-0.1778,0.0388,-0.0628,0.19
0.274670,-0.1066,0.0334,-0.0563,0.13
0.291232,-0.0489,0.0453,-0.0043,0.07
0.298794,-0.0148,0.0606,0.0293,0.07
0.307022,0.0454,0.0689,-0.0354,0.09
0.315371,0.1087,0.0438,0.0002,0.12
0.332353,0.0961,-0.0435,0.0281,0.11
0.338696,0.0628,-0.0853,0.0545,0.12
0.348292,0.0541,-0.1079,0.0810,0.15
0.354792,0.0691,-0.0875,-0.0267,0.11
0.365475,0.0532,-0.0507,-0.1031,0.13
0.381880,-0.0486,-0.0161,-0.0431,0.07
0.387122,-0.0716,-0.0381,-0.0596,0.10
0.398866,-0.1135,-0.0722,-0.0905,0.16
0.403098,-0.1194,-0.0849,-0.1189,0.19
0.415866,-0.0921,-0.0832,-0.1618,0.20
0.432127,-0.0994,-0.0633,-0.0924,0.15
0.435296,-0.0884,-0.0504,0.0152,0.10
0.449186,-0.0516,-0.0357,0.0771,0.10
0.459556,0.0098,-0.0050,0.0020,0.01
0.467506,0.0155,0.0015,-0.0798,0.08
0.475518,0.1027,0.0003,-0.1137,0.15
0.483646,0.1186,0.0063,-0.0804,0.14
0.499365,0.1290,0.0121,0.0317,0.13
0.508134,0.0697,0.0191,0.0360,0.08
0.516565,-0.0284,0.0360,0.0306,0.06
0.523584,-0.0754,0.0382,-0.0176,0.09
0.539878,-0.0636,0.0131,-0.1033,0.12
0.548550,0.0173,0.0027,-0.1268,0.13
0.556155,0.0712,0.0256,-0.1098,0.13
0.566366,0.0881,0.0559,-0.0811,0.13
0.582918,0.1266,0.0523,-0.0260,0.14
0.591001,0.1125,0.0324,0.0339,0.12
0.609507,0.0599,0.0294,-0.0116,0.07
0.610039,0.0431,0.0002,-0.0596,0.07
0.623986,0.0360,-0.0243,-0.0955,0.10
0.624450,0.0246,-0.0124,-0.0546,0.06
0.637898,0.0158,-0.0411,0.0389,0.06
0.652197,-0.0107,-0.0571,0.0533,0.08
0.668297,-0.0826,0.0159,-0.0348,0.09
0.668767,-0.0624,0.0151,-0.1327,0.15
0.676206,-0.0328,-0.0215,-0.1230,0.13
0.684623,0.0159,-0.0270,-0.1372,0.14
0.700885,0.1115,-0.0952,-0.0487,0.15
0.708642,0.1277,-0.0997,0.0206,0.16
0.717467,0.0812,-0.1184,0.0443,0.15
0.724409,0.0437,-0.1394,0.0679,0.16
0.733448,-0.0300,-0.1032,0.0555,0.12
0.750832,-0.1968,0.0136,-0.1514,0.25
0.756505,-0.1831,0.0468,-0.1180,0.22
0.767310,-0.1304,0.0278,-0.0438,0.14
0.784025,0.0856,-0.0188,-0.0964,0.13
0.788797,0.1786,-0.0536,-0.0894,0.21
0.800620,0.2329,-0.0738,-0.0944,0.26
0.804778,0.2679,-0.0506,-0.0827,0.28
0.817074,0.2192,-0.0700,0.0249,0.23
0.833913,0.0797,-0.0626,-0.0184,0.10
0.836873,0.0083,-0.0629,-0.0159,0.07
0.850808,-0.0334,-0.0206,-0.0347,0.05
0.867861,-0.1225,0.0034,-0.0673,0.14
0.869459,-0.1228,-0.0053,-0.0621,0.14
0.884210,-0.0969,0.0193,-0.1048,0.14
0.885091,-0.0710,0.0772,-0.0852,0.14
0.901417,-0.0643,0.1019,-0.0489,0.13
0.909342,-0.0509,0.0997,0.0118,0.11
0.919038,-0.0808,0.0728,0.0336,0.11
0.929465,-0.0603,0.0389,0.0243,0.08
0.945638,-0.0297,-0.0118,0.0439,0.05
0.946155,0.0058,-0.0123,0.0157,0.02
0.959772,0.0696,0.0064,0.0160,0.07
0.974325,0.1077,0.0493,-0.0217,0.12
0.974774,0.1048,0.0471,-0.0386,0.12
0.988426,0.1262,0.0562,-0.0818,0.16
1.002627,0.0020,0.0621,-0.0866,0.11
1.005311,-0.1338,0.0713,-0.0912,0.18
1.017216,-0.2139,0.0732,-0.1316,0.26
1.033529,-0.2838,0.0645,-0.1306,0.32
1.037479,-0.1998,0.0533,-0.1779,0.27
1.050526,-0.0904,0.0350,-0.1440,0.17
1.053649,-0.0780,0.1104,-0.0793,0.16
1.066746,0.0361,0.1304,-0.1251,0.18
1.083532,0.1451,0.0433,0.0727,0.17
1.085724,0.1444,0.0104,0.2019,0.25
1.100197,0.1098,-0.0511,0.2328,0.26
1.117082,-0.0067,-0.1027,0.0361,0.11
1.117908,-0.0025,-0.1076,-0.0407,0.12
1.133476,0.0801,-0.1108,-0.0835,0.16
1.133953,0.1099,-0.0853,-0.0516,0.15
1.150394,0.1100,-0.0514,0.0287,0.12
1.158140,0.0368,-0.0503,0.0457,0.08
1.167531,0.0189,-0.0656,0.0102,0.07
1.173992,0.0069,-0.0833,0.0060,0.08
1.183458,0.0269,-0.0938,-0.0194,0.10
1.200226,0.0686,-0.0642,0.0498,0.11
1.212128,0.0598,-0.0192,0.0554,0.08
1.228903,0.0257,0.0090,-0.0183,0.03
1.229434,-0.0183,0.0463,-0.1040,0.12
1.240406,-0.0598,0.0616,-0.1802,0.20
1.262895,-0.1669,-0.0310,-0.0907,0.19
1.263380,-0.2291,-0.0870,-0.1236,0.27
1.263920,-0.3152,-0.0835,-0.2091,0.39
1.276205,-0.3090,-0.0613,-0.2710,0.42
1.290637,-0.2270,0.0374,-0.2301,0.33
1.304911,-0.0170,0.0796,-0.0201,0.08
1.305375,0.0988,0.0372,0.0316,0.11
1.319293,0.1418,0.0257,-0.0222,0.15
1.333818,0.2283,0.0180,0.0928,0.25
1.334395,0.2175,0.0171,0.1710,0.28
1.349768,0.1978,-0.0057,0.1488,0.25
1.358687,0.1238,-0.0599,0.0717,0.16
1.367007,0.0809,-0.0790,-0.0456,0.12
1.374618,0.0749,-0.0771,-0.1363,0.17
1.383212,0.0510,-0.0848,-0.1453,0.18
1.399748,-0.0106,-0.1164,-0.1559,0.19
1.406871,0.0104,-0.1214,-0.1794,0.22
1.418840,-0.0023,-0.0497,-0.1239,0.13
1.433502,0.0380,-0.0494,-0.0349,0.07
1.439098,0.0092,-0.0608,-0.0181,0.06
1.449827,-0.0434,-0.0316,-0.0085,0.05
1.454938,-0.0207,-0.0623,-0.0375,0.08
1.466587,-0.0249,-0.0357,-0.0954,0.10
1.483121,-0.0118,0.0146,0.0126,0.02
1.487060,0.0054,-0.0067,0.0080,0.01
1.500044,0.0433,-0.0136,0.0462,0.06
1.503090,0.0379,-0.0086,0.0365,0.05
1.516271,0.0104,0.0536,0.0505,0.07
1.532790,-0.0672,0.1156,-0.0006,0.13
1.535294,-0.0950,0.1373,-0.0608,0.18
1.549479,-0.1136,0.1162,-0.1115,0.20
1.566120,-0.0626,0.1253,-0.1000,0.17
1.567460,-0.0356,0.1111,-0.0789,0.14
1.584084,0.0270,0.0924,-0.0794,0.12
1.584548,0.0757,0.0634,-0.0750,0.12
1.597217,0.0893,0.0371,-0.0344,0.10
1.613712,0.1027,-0.0271,0.0252,0.11
1.614550,0.1013,-0.0740,0.0225,0.13
1.632384,0.0629,-0.1679,-0.0068,0.18
1.646878,0.1022,-0.1143,-0.0670,0.17
1.647843,0.1448,-0.0780,-0.1125,0.20
1.661357,0.1783,-0.0606,-0.1173,0.22
1.675947,0.1598,-0.0500,-0.0932,0.19
1.676393,0.1503,-0.0865,0.0219,0.17
1.690225,0.0895,-0.0894,0.0337,0.13
1.704156,-0.0511,-0.0961,-0.0097,0.11
1.704599,-0.1058,-0.0783,-0.0383,0.14
1.718242,-0.1165,-0.0609,-0.0116,0.13
1.732740,-0.1325,0.0143,-0.0156,0.13
1.736026,-0.1216,0.0146,-0.0200,0.12
1.749545,-0.0848,0.0030,0.0113,0.09
1.766433,-0.0118,-0.0201,-0.0027,0.02
1.768282,0.0177,-0.0179,-0.0265,0.04
