time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008105,0.1058,0.0389,-0.1836,0.22
0.008452,0.0364,0.0716,-0.2152,0.23
0.020938,0.0656,0.0088,-0.2208,0.23
0.033422,0.1263,-0.0612,-0.0443,0.15
0.037490,0.0596,-0.0805,0.0918,0.14
0.048929,0.0240,-0.0257,0.1845,0.19
0.073118,-0.1368,-0.0596,0.1547,0.21
0.073392,-0.1280,-0.0743,0.0049,0.15
0.088896,0.0082,-0.0531,-0.1143,0.13
0.089091,0.0196,0.0065,-0.1591,0.16
0.098317,0.0162,0.0563,-0.1991,0.21
0.115134,0.0523,0.0364,-0.1174,0.13
0.117589,0.0966,0.0217,-0.0129,0.10
0.133745,0.0329,0.0400,-0.0032,0.05
0.141648,0.0830,-0.0201,0.0585,0.10
0.149756,0.1206,-0.0610,0.1527,0.20
0.157689,0.1189,-0.1237,0.1249,0.21
0.174122,0.0497,-0.1973,0.0203,0.20
0.182657,0.1870,-0.2295,-0.0231,0.30
0.190345,0.2004,-0.1635,-0.0743,0.27
0.199738,0.0953,-0.0136,-0.0925,0.13
0.206273,-0.0056,0.0865,-0.0537,0.10
0.216964,-0.0936,0.2011,-0.0532,0.23
0.232456,-0.0471,0.1220,-0.0087,0.13
0.238214,0.0366,-0.0047,-0.0117,0.04
0.248516,0.1730,-0.0668,-0.0677,0.20
0.265913,0.2294,-0.0380,-0.0321,0.23
0.270252,0.1536,-0.0215,0.0477,0.16
0.281311,0.1132,-0.0051,0.0865,0.14
0.286447,0.1156,0.0494,0.0697,0.14
0.298965,0.1028,0.0606,0.0259,0.12
0.316002,0.0236,-0.0280,0.1197,0.13
0.318530,-0.0607,-0.1274,-0.0436,0.15
0.332659,-0.1325,-0.1164,-0.2035,0.27
0.342619,-0.1779,0.0154,-0.1927,0.26
0.350791,-0.1358,0.1237,-0.2321,0.30
0.358709,-0.1463,0.1794,-0.2713,0.36
0.366622,-0.1385,0.1846,-0.2987,0.38
0.383395,-0.2738,0.1419,-0.2378,0.39
0.391309,-0.4958,0.1276,-0.1889,0.55
0.398664,-0.3653,0.1304,-0.1893,0.43
0.406967,-0.1518,0.1402,-0.1655,0.26
0.416980,-0.1212,0.2379,-0.1341,0.30
0.432027,-0.7259,0.5042,-0.3847,0.96
0.439216,-1.0180,0.5617,-0.5840,1.30
0.447964,-1.2175,0.7477,-0.7696,1.62
0.464360,-0.7542,0.5657,-1.0386,1.40
0.471483,-0.2857,0.2161,-1.0426,1.10
0.481560,0.4690,-0.2797,-0.7748,0.95
0.487212,0.8559,-0.5927,-0.4958,1.15
0.499007,1.1040,-0.7449,-0.2439,1.35
0.514877,1.3418,-0.7618,0.0782,1.54
0.519540,1.4765,-0.8259,0.5544,1.78
0.531126,0.9429,-0.4830,0.4485,1.15
0.548773,0.8745,-0.1489,0.2197,0.91
0.551878,0.9064,-0.1116,0.3442,0.98
0.564672,0.6695,-0.0364,0.3839,0.77
0.568234,0.4100,0.0643,0.3408,0.54
0.582681,0.3524,-0.0531,0.3267,0.48
0.592419,0.3365,-0.0067,0.1522,0.37
0.612310,0.2428,-0.0078,0.1453,0.28
0.612729,0.2095,0.0198,0.1321,0.25
0.622112,0.1331,-0.0460,0.3081,0.34
0.632899,-0.1949,-0.2428,0.7060,0.77
0.640187,-0.3754,-0.2330,0.6057,0.75
0.648919,-0.5076,-0.2401,0.4840,0.74
0.656343,-0.5486,-0.2521,0.3805,0.71
0.672380,-0.3187,-0.1401,0.2009,0.40
0.682294,-0.2204,0.0129,0.1366,0.26
0.688129,-0.2327,0.1275,0.0794,0.28
0.699571,-0.2111,0.2015,-0.0008,0.29
0.715486,0.1235,0.0412,-0.3106,0.34
0.720224,0.0182,0.0173,-0.3820,0.38
0.732572,-0.0466,0.0533,-0.3805,0.39
0.736444,0.1020,-0.0255,-0.4137,0.43
0.749016,-0.0011,-0.0157,-0.3982,0.40
0.766080,-0.0820,-0.0441,-0.2018,0.22
0.768369,-0.0576,-0.0698,-0.0906,0.13
0.782197,-0.0045,-0.1147,0.0257,0.12
0.798688,0.1111,-0.1446,0.1279,0.22
0.800592,0.0904,-0.1367,0.2530,0.30
0.808941,0.1939,-0.1480,0.3320,0.41
0.816666,0.3536,-0.1664,0.3135,0.50
0.833089,0.2686,-0.0580,0.4377,0.52
0.840960,0.2815,-0.0823,0.4869,0.57
0.849011,0.2907,-0.1070,0.5063,0.59
0.857061,0.2555,-0.1274,0.4513,0.53
0.872881,0.2736,-0.1903,0.2636,0.42
0.883410,0.3131,-0.1992,0.1220,0.39
0.888789,0.3190,-0.1507,-0.0313,0.35
0.899360,0.2792,-0.0999,-0.1149,0.32
0.916325,0.1046,-0.0219,-0.2110,0.24
0.920777,-0.0104,0.0174,-0.2280,0.23
0.933153,-0.0646,0.0401,-0.2350,0.25
0.937019,-0.1802,0.0654,-0.2198,0.29
0.949902,-0.2349,0.0718,-0.1991,0.32
0.966036,-0.2626,0.0495,-0.2113,0.34
0.969281,-0.3432,0.0328,-0.1866,0.39
0.982273,-0.2576,0.0283,-0.2112,0.33
0.999337,-0.0977,0.0753,-0.2610,0.29
1.001682,-0.0206,0.0714,-0.2358,0.25
1.015472,0.0293,0.0530,-0.1755,0.19
1.017845,0.0684,0.0583,-0.1001,0.13
1.033471,0.1141,0.0636,-0.1270,0.18
1.041933,0.1474,0.0707,-0.1454,0.22
1.049762,0.1633,0.0562,-0.1324,0.22
1.058128,0.1478,0.0393,-0.0858,0.18
1.073752,0.1956,-0.0163,0.0569,0.20
1.082913,0.2041,-0.0765,0.0975,0.24
1.092550,0.0621,0.0023,0.2447,0.25
1.109207,0.2792,-0.1585,0.2113,0.38
1.109551,0.2232,-0.1470,0.2290,0.35
1.119479,0.1542,-0.1597,0.2718,0.35
1.140137,0.0857,-0.1543,0.3462,0.39
1.140423,0.0190,-0.1314,0.3321,0.36
1.152416,-0.0357,-0.1253,0.3279,0.35
1.166277,-0.1676,-0.1084,0.2658,0.33
1.170000,-0.2586,-0.0949,0.2374,0.36
1.181711,-0.3649,-0.0836,0.2161,0.43
1.198136,-0.4976,-0.0358,0.2182,0.54
1.201925,-0.5135,-0.0136,0.1983,0.55
1.214554,-0.4980,-0.0196,0.1612,0.52
1.218161,-0.4258,0.0035,0.1221,0.44
1.231517,-0.3264,0.0195,0.0767,0.34
1.248469,-0.0752,-0.0109,0.0471,0.09
1.250461,0.0850,-0.0408,0.0464,0.11
1.265159,0.2000,-0.0352,0.0420,0.21
1.266324,0.2799,-0.0346,0.0361,0.28
1.282746,0.3801,-0.0151,0.0144,0.38
1.290810,0.3884,0.0278,0.0001,0.39
1.298970,0.3714,0.0632,-0.0237,0.38
1.306871,0.3429,0.0886,-0.0136,0.35
1.322734,0.2349,0.0481,-0.0009,0.24
1.332597,0.1803,0.0062,0.0227,0.18
1.338823,0.1453,-0.0333,0.0412,0.15
1.348653,0.1133,-0.0822,0.0640,0.15
1.364947,0.0441,-0.0458,0.0637,0.09
1.370832,0.0022,-0.0322,0.0169,0.04
1.381439,-0.0200,-0.0162,-0.0686,0.07
1.386686,-0.0102,0.0215,-0.1493,0.15
1.399310,0.0362,0.0499,-0.2205,0.23
1.415385,0.0987,0.0398,-0.2790,0.30
1.419744,0.1530,0.0181,-0.2656,0.31
1.433646,0.2234,-0.0298,-0.2319,0.32
1.449248,0.0916,0.1137,-0.0959,0.17
1.451013,0.2815,0.0442,-0.1448,0.32
1.465431,0.2246,0.0872,-0.1173,0.27
1.467179,0.1406,0.0557,-0.0752,0.17
1.482838,0.1215,-0.0139,-0.0591,0.14
1.491867,-0.0020,-0.0788,-0.0443,0.09
1.499937,-0.0249,-0.0814,-0.0801,0.12
1.507900,-0.0786,-0.0647,-0.1149,0.15
1.523681,-0.0477,-0.0217,-0.2039,0.21
1.532480,0.0083,-0.0311,-0.2452,0.25
1.540013,0.0406,-0.0141,-0.2861,0.29
1.550246,0.0898,0.0054,-0.3138,0.33
1.573150,0.0394,0.0708,-0.2297,0.24
1.573576,0.2597,-0.0271,-0.2926,0.39
1.593581,0.2158,0.0137,-0.2590,0.34
1.593870,0.1611,0.0472,-0.2218,0.28
1.604267,0.1659,-0.0055,-0.1858,0.25
1.615803,0.0521,-0.0010,-0.0682,0.09
1.620024,0.0112,-0.0082,-0.0602,0.06
1.631434,-0.0269,-0.0107,-0.0602,0.07
1.648523,-0.0658,-0.0203,-0.0633,0.09
1.651738,-0.0547,-0.0513,-0.0370,0.08
1.664805,-0.0286,-0.0798,-0.0661,0.11
1.668108,0.0481,-0.1131,-0.0118,0.12
1.681632,0.1252,-0.1367,0.0472,0.19
1.698567,0.2357,-0.1219,0.0850,0.28
1.700438,0.2949,-0.1147,0.1044,0.33
1.714907,0.2911,-0.0575,0.1066,0.32
1.716240,0.2884,-0.0125,0.1055,0.31
1.732261,0.1445,0.0244,0.1191,0.19
1.740614,0.0830,0.0259,0.1287,0.16
1.748961,0.0192,0.0131,0.1190,0.12
1.756616,-0.0513,-0.0140,0.1567,0.17
1.772598,-0.0925,-0.0990,0.1809,0.23
1.781991,-0.1256,-0.0851,0.1938,0.25
1.788672,-0.1417,-0.0664,0.1823,0.24
1.798974,-0.1260,-0.0955,0.1509,0.22
1.815679,-0.0480,-0.1152,0.0211,0.13
1.820607,-0.0241,-0.1129,-0.0291,0.12
1.832539,0.0025,-0.0915,-0.0483,0.10
1.836601,0.0195,-0.0748,-0.0530,0.09
1.848427,0.0271,-0.0389,-0.0943,0.11
1.865144,0.0858,-0.0056,-0.1260,0.15
1.868662,0.0862,0.0063,-0.1538,0.18
1.882306,0.1102,0.0180,-0.1835,0.21
1.898413,0.0773,0.0438,-0.2284,0.25
1.900928,0.0825,0.0744,-0.2483,0.27
1.915126,0.0775,0.0955,-0.3030,0.33
1.916840,0.0527,0.1092,-0.3061,0.33
1.931619,0.0081,0.0990,-0.3177,0.33
1.941870,0.0063,0.0569,-0.3148,0.32
1.949495,-0.0056,0.0683,-0.3364,0.34
1.958139,-0.0462,0.0701,-0.2920,0.30
1.967576,-0.0864,0.0769,-0.2281,0.26
1.984726,-0.1172,-0.0266,-0.0900,0.15
1.989292,-0.2012,-0.0794,-0.0231,0.22
2.007409,-0.2441,-0.1273,0.0365,0.28
2.007959,-0.3027,-0.1630,0.0695,0.35
2.021979,-0.3143,-0.2032,0.0995,0.39
2.038017,-0.3289,-0.2088,0.1875,0.43
2.038381,-0.3003,-0.1956,0.2376,0.43
2.049116,-0.1942,-0.1296,0.2480,0.34
2.064458,-0.0178,-0.1151,0.2436,0.27
2.069450,0.0659,-0.1380,0.2675,0.31
2.080939,0.1131,-0.1420,0.2762,0.33
