time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001955,0.0650,-0.0320,-0.2440,0.255
0.003057,-0.1270,0.0500,0.0880,0.162
0.003623,-0.1800,-0.0580,0.4300,0.470
0.011542,-0.2260,-0.1710,0.7240,0.777
0.019341,-0.2560,-0.0920,0.9170,0.956
0.047822,-0.2150,-0.0620,1.0250,1.049
0.048583,-0.1100,-0.0490,0.9390,0.947
0.049051,-0.0120,-0.0940,0.6990,0.705
0.060241,0.0530,-0.0390,0.3480,0.354
0.065504,0.0830,0.0170,-0.0520,0.099
0.074918,0.1090,0.0900,-0.3410,0.369
0.084676,0.1460,0.1410,-0.4990,0.539
0.095530,0.1610,0.1340,-0.5560,0.594
0.103317,0.1750,0.1100,-0.5930,0.628
0.139221,0.1420,0.1010,-0.5860,0.611
0.139834,0.0760,0.1150,-0.5180,0.536
0.140170,0.0370,0.0670,-0.3790,0.387
0.143409,0.0260,0.0880,-0.2310,0.249
0.151002,0.0770,0.0750,-0.1230,0.163
0.160838,0.1070,0.0570,-0.0030,0.121
0.170061,0.1400,0.0620,0.0620,0.165
0.182442,0.1560,0.0420,0.2090,0.264
0.190674,0.1460,0.0120,0.3680,0.396
0.198843,0.1220,-0.0540,0.4910,0.509
0.207902,0.0400,-0.0690,0.4870,0.493
0.245098,-0.0220,-0.0750,0.4210,0.428
0.245899,-0.0810,-0.0330,0.2980,0.311
0.246353,-0.1180,0.0000,0.1380,0.182
0.246682,-0.1210,0.0050,-0.0080,0.121
0.255227,-0.1600,0.0010,-0.1430,0.215
0.264818,-0.2100,-0.0040,-0.2210,0.305
0.274174,-0.2360,-0.0170,-0.2350,0.333
0.283770,-0.2190,-0.0300,-0.1800,0.285
0.293247,-0.1880,-0.0410,-0.1120,0.223
0.305168,-0.1220,-0.0350,-0.0320,0.131
0.345695,-0.0800,-0.0330,0.1160,0.145
0.346467,-0.0110,-0.0260,0.2090,0.211
0.346962,0.0560,-0.0260,0.2500,0.258
0.347311,0.0520,-0.0090,0.2350,0.241
0.350137,0.0260,-0.0260,0.1960,0.199
0.359680,0.0120,0.0000,0.1140,0.115
0.369217,-0.0270,-0.0040,0.0340,0.044
0.378746,-0.0370,0.0060,-0.0180,0.042
0.388146,-0.0640,-0.0070,-0.0320,0.072
0.397671,-0.0730,-0.0190,-0.0190,0.078
0.407176,-0.0860,-0.0040,0.0210,0.089
0.445957,-0.0540,0.0110,0.0200,0.059
0.446616,-0.0120,0.0410,0.0470,0.064
0.446998,0.0520,0.0420,0.0870,0.110
0.447203,0.0950,0.0430,0.0870,0.136
0.454870,0.1030,0.0430,0.1000,0.150
0.464249,0.0910,0.0430,0.1000,0.142
0.473791,0.0600,0.0670,0.0740,0.116
0.483539,0.0040,0.0660,0.0200,0.069
0.492624,-0.0090,0.0610,-0.0180,0.064
0.504587,-0.0370,0.0600,-0.0590,0.092
0.513920,-0.0480,0.0430,-0.0850,0.107
0.542298,-0.0350,0.0310,-0.0850,0.097
0.543099,-0.0350,0.0440,-0.0170,0.059
0.543609,-0.0370,0.0470,0.1030,0.119
0.549900,-0.0230,0.0380,0.2100,0.215
0.559430,-0.0100,0.0000,0.2780,0.278
0.568585,-0.0360,-0.0060,0.3300,0.332
0.578084,-0.0370,-0.0200,0.3710,0.373
0.587579,-0.0350,-0.0130,0.3690,0.371
0.597160,-0.0470,-0.0170,0.3150,0.319
0.606690,-0.0280,-0.0150,0.2060,0.208
0.615899,0.0170,0.0220,0.1120,0.115
0.652604,0.0060,0.0320,0.0320,0.046
0.653148,0.0360,0.0160,-0.0070,0.040
0.653730,0.0110,0.0010,0.0060,0.013
0.657483,-0.0130,-0.0260,-0.0060,0.030
0.663789,-0.0220,-0.0140,-0.0460,0.053
0.673267,-0.0200,-0.0010,-0.0860,0.088
0.682567,-0.0040,-0.0020,-0.0590,0.059
0.694748,-0.0050,-0.0030,0.0220,0.023
0.704543,0.0050,-0.0020,0.0900,0.090
0.712110,0.0170,-0.0450,0.0900,0.102
0.752633,0.0130,-0.0300,0.0760,0.083
0.753183,-0.0030,0.0070,0.0630,0.063
0.753466,-0.0170,0.0180,0.0370,0.045
0.753713,0.0070,0.0020,0.0240,0.025
0.761060,0.0300,0.0120,-0.0010,0.032
0.769908,0.0140,0.0380,-0.0280,0.049
0.777758,0.0120,0.0460,-0.0670,0.082
0.786733,0.0370,0.0450,-0.1220,0.135
0.796191,0.0330,0.0640,-0.1740,0.188
0.806169,0.0290,0.1070,-0.1610,0.195
0.847779,0.0490,0.1010,-0.1050,0.154
0.848365,0.0710,0.0790,0.0280,0.110
0.848580,0.1000,0.0700,0.1760,0.214
0.848792,0.1240,0.0470,0.3240,0.350
0.854099,0.1030,0.0150,0.3880,0.402
0.863043,0.0750,-0.0090,0.4290,0.436
0.872703,0.0680,-0.0010,0.4530,0.458
0.882114,0.0950,0.0500,0.4130,0.427
0.891483,0.1730,0.0880,0.3170,0.372
0.902576,0.2920,0.1520,0.2230,0.398
0.910484,0.3030,0.1800,0.1580,0.386
0.949203,0.4030,0.2180,0.0770,0.465
0.949687,0.2980,0.1910,0.0380,0.356
0.949967,0.0910,0.1500,0.0510,0.183
0.950217,-0.1600,0.0660,0.0520,0.181
0.959445,-0.3820,-0.0010,0.1600,0.414
0.968658,-0.3850,0.0020,0.2130,0.440
0.976915,-0.2080,-0.0230,0.1850,0.279
0.986379,0.0850,0.0220,0.1550,0.178
0.995917,0.2820,0.1660,0.1250,0.350
1.005248,0.4730,0.2830,0.1260,0.565
1.052785,0.6140,0.2270,0.2030,0.685
1.053527,0.4350,0.2590,0.3910,0.640
1.053942,0.2480,0.2660,0.6190,0.718
1.054290,0.0920,0.1380,0.7520,0.770
1.054617,-0.0880,-0.0030,0.8210,0.826
1.062459,-0.1510,-0.0140,0.7920,0.806
1.071931,-0.2720,0.1000,0.7450,0.799
1.081784,-1.4610,1.5400,0.7260,2.243
1.090657,-1.0010,0.3620,0.4730,1.165
1.100109,-0.3310,-0.1940,0.0360,0.385
1.109866,-0.3550,-0.2260,-0.2610,0.495
1.152697,-0.4660,-0.2860,-0.5510,0.776
1.153810,-0.4320,-0.4540,-0.7720,0.994
1.154553,-0.2410,-0.5050,-0.8640,1.029
1.155168,-0.1160,-0.5370,-0.8580,1.019
1.157717,0.0270,-0.4410,-0.7220,0.846
1.166653,0.1330,-0.2340,-0.5000,0.568
1.176112,0.1360,-0.1710,-0.2110,0.304
1.185826,0.1910,-0.2820,0.1200,0.361
1.195155,0.2910,-0.4050,0.4150,0.649
1.207756,0.4180,-0.4090,0.6300,0.860
1.245250,0.4270,-0.3500,0.6600,0.860
1.246035,0.3660,-0.2890,0.6490,0.799
1.246536,0.1960,-0.2030,0.5520,0.620
1.246957,-0.0200,-0.1470,0.3830,0.411
1.252120,-0.2110,-0.0960,0.2520,0.342
1.261692,-0.3520,-0.1530,0.1520,0.413
1.271135,-0.3310,-0.1710,0.0350,0.374
1.280210,-0.3170,-0.1560,-0.2000,0.406
1.289806,-0.2740,-0.0480,-0.4640,0.541
1.299687,-0.2160,0.0630,-0.7190,0.753
1.308943,-0.1740,0.0680,-0.7660,0.788
1.318319,-0.2120,0.1340,-0.5790,0.631
1.357663,-0.1800,0.1620,-0.3060,0.390
1.358503,-0.1010,0.1150,-0.0940,0.180
1.359080,0.0490,0.0510,0.0360,0.079
1.359359,0.1160,0.0540,0.0990,0.162
1.367529,0.2060,0.1290,-0.0110,0.243
1.375600,0.2710,0.1850,-0.1250,0.351
1.384631,0.2760,0.1860,-0.0980,0.347
1.397095,0.2330,0.1740,0.0330,0.293
1.405447,0.1310,0.1070,0.2200,0.278
1.415459,0.0270,0.0000,0.3930,0.394
1.448223,-0.0390,-0.0300,0.5100,0.512
1.448692,-0.0060,-0.0360,0.5640,0.565
1.449043,0.0200,-0.0190,0.6020,0.603
1.451004,0.0740,-0.0790,1.0570,1.063
1.460490,0.1990,-0.0960,1.0570,1.080
1.470000,0.0520,-0.0230,0.9330,0.935
1.479604,-0.1560,0.0170,0.6440,0.663
1.488952,-0.2550,0.0030,0.3590,0.440
1.498476,-0.2660,-0.0450,0.1970,0.334
1.508082,-0.2540,-0.0090,0.0780,0.266
1.518269,-0.1900,0.0490,-0.0500,0.202
1.532106,-0.0470,0.0990,-0.1270,0.168
1.542687,0.1530,0.0830,-0.2420,0.298
1.574839,0.3750,0.0800,-0.3870,0.545
1.583843,0.4290,0.0490,-0.4760,0.643
1.586016,0.4490,0.0790,-0.4880,0.668
1.587532,0.4190,0.1350,-0.4040,0.597
1.588530,0.3760,0.1940,-0.3370,0.541
1.593912,0.3570,0.1950,-0.2960,0.503
1.605226,0.3350,0.1880,-0.2330,0.449
1.617569,0.2760,0.1520,-0.1540,0.351
1.653701,0.1660,0.1050,-0.1330,0.237
1.654122,0.0270,0.0620,-0.1760,0.189
1.654337,-0.1490,0.0010,-0.2230,0.268
1.654562,-0.2470,-0.1130,-0.2660,0.380
1.662535,-0.3230,-0.2290,-0.2440,0.465
1.671875,-0.3440,-0.2770,-0.2360,0.501
1.683535,-0.3970,-0.2680,-0.2550,0.543
1.697736,-0.4020,-0.2480,-0.3420,0.583
1.699630,-0.3480,-0.1780,-0.3510,0.525
1.707657,-0.1840,-0.0400,-0.2630,0.323
1.719466,0.0270,0.0370,-0.1800,0.186
1.776971,0.1700,0.0690,-0.0440,0.189
1.780232,0.1990,0.1080,0.1310,0.262
1.780482,0.1180,0.1180,0.2240,0.279
1.780639,0.0860,0.1160,0.1810,0.232
1.780761,0.0490,0.0970,0.0710,0.130
1.780870,-0.0220,0.0170,-0.0540,0.061
1.789374,-0.1220,-0.0200,-0.1510,0.195
1.797673,-0.2560,-0.0670,-0.1420,0.300
1.805447,-0.3730,-0.1460,-0.1600,0.431
1.816257,-0.4230,-0.1880,-0.2070,0.507
1.875388,-0.2740,-0.1670,-0.2130,0.385
1.876965,-0.0670,-0.2060,-0.1260,0.251
1.877752,0.1560,-0.0990,0.1050,0.213
1.878380,0.3970,0.0900,0.4670,0.620
1.878751,0.5430,0.2230,0.7570,0.958
1.879052,0.5150,0.2230,0.9750,1.125
1.879661,0.3560,0.0830,1.0070,1.071
1.887548,0.3060,-0.1350,0.9710,1.027
1.897164,0.2990,-0.2740,0.7850,0.884
1.915753,0.2670,-0.3580,0.5640,0.719
1.916871,0.2500,-0.3780,0.2240,0.506
1.975350,0.0500,-0.1150,-0.0600,0.139
1.977251,-0.2550,0.2520,-0.1710,0.397
1.979072,-0.4350,0.4410,-0.1870,0.647
1.979950,-0.2990,0.1970,-0.1280,0.380
1.980688,-0.0550,-0.0730,0.0720,0.116
1.981341,0.1930,-0.2940,0.2630,0.439
1.986131,0.3460,-0.4150,0.3570,0.648
1.994399,0.4290,-0.3380,0.2780,0.613
2.001588,0.3210,-0.0030,0.1740,0.365
2.011223,0.0560,0.3800,0.0660,0.390
2.047546,-0.1280,0.6420,-0.0950,0.661
2.049247,-0.0840,0.6470,-0.2400,0.695
2.050570,0.0310,0.6110,-0.3560,0.708
2.051646,0.1120,0.5100,-0.3870,0.650
2.062064,0.1050,0.4700,-0.4250,0.642
2.068042,0.0420,0.3710,-0.4220,0.563
2.077376,-0.0510,0.3380,-0.3960,0.523
2.086960,-0.0350,0.2540,-0.3590,0.441
2.099555,0.0120,0.1290,-0.3080,0.334
2.110637,0.0690,0.0480,-0.2270,0.242
2.148005,0.1130,-0.0100,-0.1080,0.157
2.149772,0.1060,-0.0790,0.0070,0.132
2.150475,0.0350,-0.0860,0.1260,0.157
2.151031,-0.0600,-0.0720,0.1880,0.210
2.154996,-0.1180,-0.1080,0.2400,0.288
2.166979,-0.1550,-0.1060,0.3150,0.367
2.174194,-0.2530,-0.0880,0.4080,0.488
2.181776,-0.2800,-0.0960,0.4150,0.510
2.191321,-0.2940,-0.1220,0.4010,0.512
2.200809,-0.2750,-0.1050,0.3420,0.451
2.210282,-0.2570,-0.0490,0.3420,0.431
2.220436,-0.2010,-0.0090,0.3930,0.442
2.257636,-0.1820,-0.0230,0.4760,0.510
2.259140,-0.1290,-0.0240,0.4720,0.490
2.259402,-0.1480,-0.0410,0.4210,0.448
2.259595,-0.1840,-0.0090,0.3540,0.399
2.267313,-0.1900,-0.0030,0.2630,0.324
2.276863,-0.1200,-0.0050,0.1310,0.178
2.289744,-0.0840,0.0270,0.0260,0.092
2.298121,-0.0190,0.0720,0.0460,0.088
2.313836,0.0050,0.0810,0.1320,0.155
2.315128,0.0000,0.0380,0.2440,0.247
2.326838,-0.0280,-0.0510,0.2360,0.243
2.368037,-0.1080,-0.0150,0.1590,0.193
2.369416,-0.2390,0.0000,0.0290,0.241
2.370376,-0.2350,0.0370,-0.1500,0.281
2.371422,-0.1300,0.0550,-0.2550,0.291
2.372278,0.0670,0.0620,-0.2750,0.290
2.385627,0.2040,0.0570,-0.2720,0.345
2.396707,0.2540,0.0390,-0.2920,0.389
2.404797,0.1410,0.0610,-0.2060,0.257
2.411247,0.0350,0.0730,-0.2390,0.252
2.419866,-0.0090,0.0440,-0.2940,0.297
2.456899,-0.0020,-0.0140,-0.2790,0.279
2.457608,0.0100,-0.0230,-0.2020,0.204
2.457848,0.0610,-0.0420,-0.0460,0.087
2.458042,0.0510,-0.0720,0.0960,0.130
2.469839,-0.0710,-0.0510,0.2500,0.265
2.479855,-0.1930,-0.0800,0.2860,0.354
2.489691,-0.2410,-0.0480,0.1850,0.308
2.521426,-0.2520,-0.0950,0.0870,0.283
2.522898,-0.2790,-0.0710,-0.0230,0.289
2.524099,-0.3060,0.0160,-0.1240,0.331
2.525250,-0.2040,0.0310,-0.1530,0.257
2.538822,-0.0210,-0.0040,-0.0630,0.067
2.617140,0.1840,0.0020,0.0620,0.194
2.618873,0.2980,0.0470,0.1650,0.344
2.619410,0.3850,0.0780,0.2370,0.459
2.619811,0.4250,0.0530,0.2880,0.516
2.620189,0.3340,0.0160,0.2260,0.404
2.620544,0.2030,0.0010,0.1980,0.284
2.620934,0.0150,0.0280,0.1150,0.119
2.625748,-0.1290,0.0000,0.0730,0.148
2.627205,-0.1810,-0.0110,0.0310,0.184
2.634418,-0.1520,0.0170,0.0700,0.168
2.662574,-0.0900,0.0480,0.1360,0.170
2.663987,-0.0450,0.0920,0.2280,0.250
2.678878,0.0000,0.1360,0.3480,0.374
2.680135,0.0770,0.1380,0.4140,0.443
2.680770,0.1570,0.1680,0.4380,0.495
2.726190,0.1860,0.2080,0.4520,0.531
2.726942,0.1480,0.1930,0.4510,0.512
2.727449,0.1230,0.1610,0.3990,0.447
2.728116,0.0500,0.0880,0.3060,0.322
2.728539,-0.0910,0.0640,0.1460,0.184
2.770553,-0.1840,0.0480,-0.0370,0.194
2.776147,-0.2550,0.0490,-0.2650,0.371
2.777384,-0.2390,0.0130,-0.4310,0.493
2.778595,-0.2030,-0.0070,-0.5130,0.552
2.782899,-0.1880,-0.0360,-0.5190,0.553
2.786809,-0.1610,-0.0480,-0.4810,0.509
2.790749,-0.0920,-0.1030,-0.3990,0.422
2.858824,-0.0020,-0.1220,-0.2540,0.282
2.867404,0.0860,-0.1080,-0.0840,0.162
2.868932,0.1400,-0.0700,0.0740,0.173
2.870024,0.1540,-0.0270,0.2010,0.255
2.870813,0.1500,-0.0210,0.2930,0.330
2.871611,0.1180,-0.0340,0.3390,0.361
2.872880,0.0800,-0.0340,0.3780,0.388
2.874037,0.0610,-0.0130,0.3450,0.351
2.875593,0.0090,-0.0040,0.2500,0.250
2.885755,-0.0040,0.0060,0.1680,0.168
2.895320,0.0390,0.0010,0.0060,0.039
2.904510,0.0670,0.0200,-0.1010,0.123
2.912766,0.1290,0.0870,-0.0870,0.178
2.922279,0.1680,0.1340,-0.0180,0.216
2.936040,0.2760,0.1370,0.0610,0.314
2.941231,0.2710,0.1110,0.1950,0.352
2.951010,0.2190,0.1010,0.3160,0.398
2.960136,0.1140,0.0770,0.3270,0.355
2.969970,0.0180,0.0210,0.2460,0.248
2.979278,-0.1120,-0.0020,0.1910,0.221
2.988760,-0.1690,-0.0330,0.1100,0.204
2.998045,-0.1330,-0.0480,-0.0370,0.146
3.007811,-0.0930,-0.0370,-0.0770,0.126
3.017007,-0.0480,-0.0250,-0.0620,0.082
3.026479,-0.0600,0.0140,-0.0880,0.107
3.036025,-0.0650,0.0230,-0.1130,0.132
3.045623,-0.1140,0.0250,-0.0990,0.153
3.055026,-0.1000,-0.0020,-0.1380,0.170
3.064515,-0.1070,-0.0250,-0.1250,0.166
3.074096,-0.1180,-0.0170,-0.0180,0.121
3.083375,-0.1510,-0.0110,0.1700,0.228
3.092922,-0.1630,-0.0230,0.3840,0.418
3.102458,-0.1140,-0.0490,0.5340,0.548
3.112184,-0.0270,-0.0610,0.5960,0.600
3.121391,0.0630,-0.0280,0.5190,0.524
3.130897,0.0140,0.0120,0.4510,0.451
3.140404,-0.0440,0.0260,0.3770,0.380
3.149904,-0.0340,0.0280,0.2470,0.251
3.159418,0.0670,0.0520,0.0510,0.099
3.169988,0.1460,0.1050,-0.2080,0.275
3.178425,0.0840,0.1490,-0.4070,0.441
3.187836,-0.0130,0.1240,-0.4070,0.426
3.197349,-0.0580,0.0820,-0.3100,0.326
3.206856,-0.0040,0.0370,-0.1160,0.122
3.216783,0.0910,0.0390,0.1570,0.186
3.225840,0.0990,0.0210,0.4270,0.439
3.235430,0.0650,-0.0520,0.6640,0.669
3.245034,0.0480,-0.1330,0.9720,0.982
3.254277,-0.0160,-0.0790,1.0130,1.016
3.264022,-0.1500,-0.0290,0.6510,0.669
3.274186,-0.1310,-0.0230,0.0650,0.148
3.282777,-0.1610,-0.0250,-0.3780,0.412
3.293970,-0.0640,0.1270,-0.8990,0.910
3.301862,0.0250,0.1370,-1.2110,1.219
3.311439,-0.0190,0.0320,-1.3070,1.308
3.320758,-0.0910,0.0090,-1.1950,1.198
3.330276,-0.2070,0.0450,-0.8480,0.874
3.340101,-0.2370,-0.0070,-0.4820,0.537
3.349218,-0.1880,0.0330,-0.1940,0.272
3.358697,-0.0180,-0.0090,-0.0680,0.071
3.368307,-0.0480,-0.0150,0.0840,0.098
3.377727,-0.0560,0.0070,0.2080,0.216
3.387210,0.0080,0.0170,0.2680,0.269
3.396926,0.0770,0.0000,0.2050,0.219
3.413828,0.1790,-0.0110,0.0920,0.202
3.415694,0.2380,0.0010,-0.0480,0.243
3.425618,0.2370,0.0170,-0.1060,0.260
3.435124,0.1110,-0.0200,-0.0960,0.148
3.444375,0.0360,-0.0400,-0.0180,0.057
3.454461,-0.0080,-0.0560,0.0430,0.071
3.463321,-0.0380,-0.0460,0.1330,0.146
3.473320,-0.0790,-0.0140,0.2880,0.299
3.482282,-0.0810,-0.0480,0.4340,0.444
3.492107,-0.0420,-0.0400,0.5200,0.523
3.501832,0.0000,0.0030,0.5180,0.518
3.510878,0.0590,0.0550,0.4990,0.505
3.520064,0.0600,0.0820,0.4170,0.429
3.529527,0.0170,0.0590,0.3470,0.352
3.539538,-0.0340,0.0290,0.2120,0.217
3.548510,-0.0670,0.0160,0.0910,0.114
3.558446,-0.0640,-0.0120,0.0240,0.069
3.568211,-0.0440,0.0120,0.0120,0.047
3.577520,-0.0270,-0.0020,0.0270,0.038
3.586663,0.0150,0.0090,0.0140,0.022
3.596743,0.0440,0.0350,0.0150,0.058
3.605965,0.0790,0.0430,-0.0500,0.103
3.615464,0.1330,0.0690,-0.1730,0.229
3.625036,0.1010,0.0750,-0.1700,0.211
3.634748,0.0200,0.0360,-0.1570,0.162
3.643546,-0.0410,-0.0290,-0.1300,0.139
3.659461,-0.0370,-0.0670,-0.1170,0.140
3.662689,-0.0180,-0.0650,-0.1580,0.172
3.674768,-0.0330,-0.0490,-0.2130,0.221
3.681818,-0.0580,-0.0100,-0.1710,0.181
3.691110,0.0160,0.0180,-0.1050,0.108
3.701374,0.0970,0.0300,-0.0390,0.109
3.709936,0.1310,0.0320,0.0000,0.135
3.719927,0.1040,0.0340,0.0510,0.121
3.729222,0.0620,0.0380,0.1310,0.150
3.738825,0.0330,-0.0060,0.2220,0.225
3.748153,-0.0430,-0.0310,0.3170,0.321
3.757376,-0.1120,-0.0460,0.3270,0.349
3.767470,-0.1480,-0.0480,0.2330,0.280
3.776611,-0.1120,0.0060,0.1120,0.159
3.786161,-0.0730,0.0710,0.0170,0.103
3.795602,-0.0590,0.1160,-0.0180,0.131
3.805790,-0.0770,0.1270,0.0080,0.149
3.814613,-0.0500,0.1080,0.0380,0.125
3.824452,-0.0370,0.0790,0.0660,0.109
3.833984,-0.0480,0.0500,0.0540,0.088
3.843784,-0.0750,0.0210,0.0540,0.095
3.852842,-0.0320,0.0200,0.0420,0.056
3.862027,0.0220,0.0320,0.0150,0.042
3.871660,0.0460,0.0030,0.0020,0.046
3.881839,0.0450,0.0010,-0.0240,0.051
3.890649,0.0140,0.0000,-0.0100,0.017
3.900137,-0.0280,-0.0280,-0.0100,0.041
3.909822,-0.0290,-0.0420,-0.0500,0.071
3.919015,0.0200,-0.0160,-0.0780,0.082
3.928673,0.0410,-0.0170,-0.1050,0.114
3.938213,-0.0160,-0.0430,-0.0520,0.069
3.947834,-0.0440,-0.0380,0.0530,0.079
3.957022,-0.0060,-0.0640,0.1210,0.137
3.966792,-0.0090,-0.0690,0.1440,0.160
3.976171,-0.0390,-0.0560,0.1440,0.159
3.985082,-0.0930,-0.0390,0.1150,0.153
3.995865,-0.0850,-0.0150,-0.0060,0.087
4.004372,-0.0220,0.0170,-0.1940,0.196
4.018141,0.0640,0.0570,-0.3440,0.355
4.024409,0.1460,0.0740,-0.3550,0.391
4.033215,0.1810,0.0790,-0.2630,0.329
4.042294,0.1400,0.0550,-0.0490,0.158
4.051813,0.0930,0.0220,0.1100,0.146
4.061576,0.0260,-0.0190,0.2250,0.227
4.071093,-0.0260,-0.0590,0.3050,0.312
4.080640,-0.0400,-0.0360,0.3130,0.318
4.090967,0.0420,-0.0140,0.2450,0.249
4.101374,0.0910,0.0090,0.0940,0.131
4.108990,0.1510,0.0600,-0.0670,0.176
4.118230,0.1350,0.0890,-0.1600,0.227
4.127771,0.1040,0.1050,-0.1610,0.219
4.137727,0.0710,0.0880,-0.0780,0.137
4.147125,0.0730,0.0530,0.0410,0.099
4.156531,0.0710,0.0320,0.1190,0.142
4.165941,0.0350,-0.0030,0.1720,0.176
4.175743,-0.0130,0.0030,0.1290,0.130
4.186594,-0.0910,0.0050,0.0330,0.097
4.195254,-0.1600,-0.0070,-0.0460,0.167
4.203665,-0.2280,-0.0050,-0.0470,0.233
4.213281,-0.2660,-0.0150,0.0070,0.267
4.222834,-0.2420,-0.0550,0.0740,0.259
4.232348,-0.1520,-0.0860,0.1120,0.207
4.242109,-0.1110,-0.0990,0.1390,0.204
4.251480,-0.0270,-0.0640,0.1080,0.128
4.260859,-0.0130,-0.0230,0.0810,0.085
4.270416,0.0130,-0.0060,0.0930,0.094
4.279823,0.0270,0.0070,0.1340,0.137
4.289450,-0.0010,0.0110,0.2000,0.200
4.298334,-0.0280,0.0100,0.2410,0.243
4.308247,-0.0140,0.0000,0.2130,0.213
4.317947,-0.0240,0.0240,0.1330,0.137
4.327267,-0.0070,0.0350,0.0940,0.101
4.336853,-0.0030,0.0590,0.0410,0.072
4.346231,0.0120,0.0530,0.0030,0.054
4.355794,0.0410,0.0360,-0.0080,0.055
4.365387,0.0520,0.0180,-0.0330,0.064
4.374855,0.0510,0.0140,-0.1140,0.126
4.384539,0.0480,0.0190,-0.1650,0.173
4.394790,0.0590,0.0290,-0.1910,0.202
4.403343,0.1050,0.0320,-0.2280,0.253
4.412848,0.1020,0.0460,-0.2690,0.291
4.423064,0.1080,0.0510,-0.2260,0.256
4.431435,0.1070,0.0690,-0.1180,0.174
4.441363,0.0610,0.0310,0.0280,0.074
4.451081,0.0210,-0.0050,0.1220,0.124
4.460253,-0.0050,-0.0100,0.1730,0.173
4.469775,-0.0320,-0.0080,0.1990,0.202
4.479157,-0.0430,-0.0270,0.2360,0.241
4.488642,-0.0810,-0.0690,0.2100,0.235
4.498007,-0.1130,-0.0510,0.1140,0.168
4.507814,-0.1120,-0.0130,0.0070,0.113
4.517048,-0.0810,0.0350,-0.0580,0.106
4.526910,-0.0560,0.0620,0.0230,0.087
4.536419,-0.0640,0.0240,0.1310,0.148
4.545898,-0.0740,-0.0020,0.2410,0.252
4.555326,-0.0780,-0.0240,0.2390,0.253
4.564873,-0.1010,0.0010,0.1720,0.199
4.574138,-0.0800,0.0130,0.0650,0.104
4.583682,-0.0670,0.0240,0.0120,0.072
4.593284,-0.0390,0.0190,0.0140,0.046
4.604109,-0.0130,-0.0110,0.0020,0.017
4.612024,0.0360,-0.0030,-0.0360,0.051
4.621893,0.0610,0.0330,-0.1160,0.135
4.630816,0.1060,0.0590,-0.2200,0.251
4.640783,0.1580,0.0570,-0.3010,0.345
4.649664,0.1480,0.0190,-0.3250,0.358
4.659913,0.0920,0.0350,-0.2440,0.263
4.669448,0.0350,0.0330,-0.1210,0.130
4.679175,-0.0200,0.0110,-0.0140,0.027
4.688491,-0.0460,-0.0090,0.0500,0.069
4.697241,-0.0730,-0.0040,0.1020,0.125
4.706650,-0.0700,0.0040,0.1530,0.168
4.716517,-0.0150,0.0070,0.2610,0.262
4.726792,0.0350,-0.0210,0.3500,0.352
4.735942,0.0370,-0.0350,0.3780,0.381
4.745059,-0.0010,-0.0400,0.3610,0.363
4.754602,-0.0100,-0.0160,0.2400,0.241
4.763952,0.0050,0.0210,0.0920,0.094
4.773843,-0.0210,0.0720,-0.0280,0.080
4.782875,-0.0440,0.0630,-0.0920,0.120
4.792374,-0.0430,0.0350,-0.0910,0.107
4.802215,-0.0630,-0.0060,-0.0760,0.099
4.811226,-0.0600,-0.0470,-0.0890,0.117
4.821098,-0.0520,-0.0340,-0.1290,0.143
4.830687,-0.0520,-0.0190,-0.1430,0.153
4.839848,-0.0360,-0.0060,-0.1010,0.107
4.849659,0.0300,0.0080,-0.0610,0.068
4.858943,0.0900,0.0200,-0.0210,0.095
4.868520,0.1010,0.0750,-0.0080,0.126
4.878120,0.0790,0.0970,0.0060,0.125
4.887292,0.0900,0.0850,0.0180,0.125
4.898330,0.0570,0.0850,0.0720,0.125
4.907287,0.0450,0.0750,0.1120,0.142
4.916175,0.0200,0.0540,0.1640,0.174
4.925385,0.0120,0.0440,0.2310,0.235
4.934713,0.0290,0.0130,0.3090,0.311
4.944271,0.0230,0.0150,0.3500,0.351
4.953799,0.0140,0.0200,0.3340,0.335
4.963386,0.0210,0.0180,0.2270,0.229
4.972933,0.0380,0.0550,0.1070,0.126
4.982428,0.0300,0.0650,0.0140,0.073
4.991888,0.0080,0.0320,-0.0360,0.049
5.003724,-0.0410,0.0030,-0.1030,0.111
5.011177,-0.1090,-0.0390,-0.1140,0.162
5.020096,-0.1750,-0.0540,-0.1540,0.239
