time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005287,-0.0346,-0.1087,0.1695,0.20
0.027410,0.0860,-0.0524,-0.0258,0.10
0.027792,0.0756,0.0419,-0.1612,0.18
0.038897,-0.0776,0.1693,-0.3990,0.44
0.050418,-0.1714,0.1636,-0.2200,0.32
0.055899,-0.1430,0.1055,-0.1302,0.22
0.064900,-0.0857,0.0042,-0.0108,0.09
0.080466,0.1358,-0.1597,0.0129,0.21
0.088250,0.2041,-0.1911,-0.0327,0.28
0.097000,0.1834,-0.1816,-0.0134,0.26
0.104267,0.1594,-0.1071,0.0041,0.19
0.113446,0.1086,-0.0636,0.0238,0.13
0.129934,0.0122,0.0113,0.0651,0.07
0.136362,0.0047,-0.0147,0.0699,0.07
0.146578,-0.0102,-0.0286,0.0532,0.06
0.163064,-0.0132,-0.0686,0.1191,0.14
0.168334,0.0156,-0.0731,0.1224,0.14
0.179943,0.0493,-0.0394,0.1519,0.16
0.184538,0.0757,0.0231,0.1719,0.19
0.196520,-0.0056,0.0712,0.2161,0.23
0.213097,-0.1122,0.0281,0.0942,0.15
0.216579,0.0444,-0.0463,0.1064,0.12
0.229726,-0.0226,-0.0006,0.1235,0.13
0.246396,0.0778,0.2880,-0.1041,0.32
0.248779,0.0812,0.3232,-0.0313,0.33
0.257074,-0.0546,0.3417,-0.0712,0.35
0.264855,-0.0654,0.2164,-0.0844,0.24
0.273426,-0.0725,0.2056,-0.1092,0.24
0.289465,-0.0711,0.3444,0.0482,0.35
0.297171,-0.0220,0.2643,0.1197,0.29
0.305809,-0.0489,0.2748,0.0735,0.29
0.312976,-0.0367,0.1725,0.0347,0.18
0.329657,-0.1273,0.1082,-0.1603,0.23
0.337575,-0.2751,0.1700,-0.0983,0.34
0.347022,-0.2319,0.2669,-0.0765,0.36
0.353002,-0.2481,0.3602,-0.0601,0.44
0.373073,-0.1592,0.5364,-0.0716,0.56
0.373694,-0.1375,0.6303,-0.0488,0.65
0.384129,-0.0749,0.7229,-0.0471,0.73
0.396600,-0.0391,1.0044,-0.1835,1.02
0.412617,-0.0441,1.0791,-0.1938,1.10
0.417498,-0.1097,1.0983,-0.0555,1.11
0.428893,-0.3385,1.2743,-0.0059,1.32
0.433397,-0.3839,1.2974,0.1470,1.36
0.445678,-0.3661,1.2395,0.2531,1.32
0.462543,-0.3216,0.9577,0.0117,1.01
0.465766,-0.4885,1.0938,-0.2037,1.22
0.474059,-0.5824,1.2183,-0.1774,1.36
0.490001,-0.1608,1.2757,-0.3355,1.33
0.497841,0.1174,1.0138,-0.2024,1.04
0.506188,0.3736,0.8041,0.0027,0.89
0.513831,0.5359,0.3739,0.5431,0.85
0.529792,-0.0827,-0.6635,0.4341,0.80
0.538268,-0.7988,-1.9189,-4.6000,5.05
0.546386,-1.1089,-3.2714,-1.7006,3.85
0.554004,-0.5082,-5.3647,-0.3380,5.40
0.563100,-0.1171,-5.0708,2.3125,5.57
0.579492,1.7473,-4.7943,1.3807,5.29
0.586283,1.8623,-3.4673,1.3729,4.17
0.596066,1.9763,-1.6088,1.5993,3.01
0.614194,2.5809,0.2397,1.3747,2.93
0.618330,2.3772,0.6456,1.5333,2.90
0.631449,1.7971,0.6373,1.4848,2.42
0.634429,1.0145,0.4301,1.4851,1.85
0.647827,0.6731,0.2406,1.4650,1.63
0.664422,-0.3942,-0.0832,0.3874,0.56
0.666706,-0.4006,-0.1763,-0.2546,0.51
0.681179,-0.4069,-0.1847,-0.5822,0.73
0.691205,-0.3186,-0.0794,-0.4741,0.58
0.699192,-0.2459,0.0510,-0.0791,0.26
0.711220,-0.2413,0.1016,0.0976,0.28
0.731554,-0.2522,0.1683,-0.0043,0.30
0.732048,-0.2381,0.2391,-0.1882,0.39
0.741408,-0.1422,0.3110,-0.4582,0.57
0.760014,-0.1324,0.2906,-0.5180,0.61
0.760504,-0.1583,0.2894,-0.5302,0.62
0.774453,-0.1478,0.2186,-0.5051,0.57
0.774939,-0.1441,0.1691,-0.4597,0.51
0.789471,-0.1448,0.1361,-0.4328,0.48
0.804174,-0.0523,0.1669,-0.5826,0.61
0.804584,0.0137,0.1521,-0.6383,0.66
0.818590,-0.0012,0.1204,-0.5896,0.60
0.833187,-0.0297,0.0754,-0.1532,0.17
0.835186,-0.0145,0.0500,0.0855,0.10
0.848108,-0.0197,0.0048,0.2889,0.29
0.864253,0.2855,-0.1049,0.4008,0.50
0.867393,0.3562,-0.1642,0.3645,0.54
0.880978,0.4422,-0.2491,0.2839,0.58
0.883408,0.4659,-0.2920,0.2614,0.61
0.897584,0.4871,-0.2835,0.1995,0.60
0.914116,0.4997,-0.3172,0.1076,0.60
0.915511,0.4841,-0.2877,0.0325,0.56
0.923652,0.4100,-0.2600,-0.0140,0.49
0.939824,0.5909,-0.1943,0.1524,0.64
0.948258,0.5932,-0.1531,0.3081,0.69
0.955720,0.7135,-0.1617,0.4170,0.84
0.965492,0.5691,-0.2127,0.2502,0.66
0.980953,0.2177,-0.1459,0.0965,0.28
0.988407,0.1521,-0.1049,0.1786,0.26
0.997686,-0.0749,-0.0336,0.2121,0.23
1.003892,-0.1312,0.0048,0.1227,0.18
1.014147,-0.1038,0.0383,-0.0206,0.11
1.030988,-0.1491,0.1121,-0.1336,0.23
1.035765,-0.1403,0.1069,-0.1719,0.25
1.047925,-0.1792,0.1185,-0.1581,0.27
1.064107,-0.2239,0.1021,-0.0747,0.26
1.068113,-0.2180,0.1678,-0.0466,0.28
1.081680,-0.1784,0.2321,0.0401,0.30
1.084449,-0.1710,0.2572,0.1209,0.33
1.097841,-0.1716,0.2983,0.2594,0.43
1.114238,-0.1721,0.2840,0.4721,0.58
1.116188,-0.1888,0.2455,0.5247,0.61
1.137480,-0.1543,0.2328,0.5482,0.62
1.137967,-0.1195,0.1720,0.5142,0.56
1.147990,-0.0748,0.0943,0.4860,0.50
1.156150,0.0466,-0.0005,0.3380,0.34
1.165291,0.0483,0.0044,0.3802,0.38
1.189629,0.1370,-0.0989,0.4752,0.50
1.190116,0.2025,-0.1256,0.3790,0.45
1.206401,0.2522,-0.1325,0.2033,0.35
1.206859,0.3031,-0.1315,0.1340,0.36
1.218196,0.4271,-0.1275,0.0815,0.45
1.232938,0.5540,-0.0504,0.1393,0.57
1.236551,0.5876,-0.0370,0.1636,0.61
1.247743,0.6534,-0.0300,0.1706,0.68
1.263998,0.6705,-0.0256,0.1018,0.68
1.269432,0.6908,-0.0591,0.0759,0.70
1.280643,0.6468,-0.0701,0.0043,0.65
1.284736,0.5630,-0.0539,-0.0887,0.57
1.297362,0.5427,0.0108,-0.1689,0.57
1.313519,0.5166,0.2238,-0.3234,0.65
1.317073,0.4157,0.2928,-0.4087,0.65
1.330486,0.3520,0.3455,-0.4226,0.65
1.333011,0.1801,0.3936,-0.4669,0.64
1.347234,0.0264,0.4337,-0.4897,0.65
1.363546,-0.2681,0.4007,-0.6474,0.81
1.364990,-0.4313,0.3245,-0.6852,0.87
1.374004,-0.6133,0.2072,-0.7500,0.99
1.393994,-1.1160,0.1231,-0.6434,1.29
1.403920,-1.1883,0.1435,-0.6150,1.35
1.406155,-1.2861,0.2102,-0.6346,1.45
1.423292,-1.4339,0.3330,-0.6441,1.61
1.423717,-1.4896,0.4037,-0.6165,1.66
1.436976,-1.5312,0.4878,-0.4934,1.68
1.451114,-1.6265,0.5959,-0.1774,1.74
1.453543,-1.6465,0.6355,-0.0691,1.77
1.465453,-1.6845,0.6541,0.0146,1.81
1.480666,-1.7629,0.6110,0.0944,1.87
1.486003,-1.6434,0.6275,0.0252,1.76
1.498117,-1.5042,0.6376,-0.0657,1.64
1.515676,-1.0770,0.7014,-0.1643,1.30
1.521620,-0.9165,0.7074,-0.1411,1.17
1.530902,-0.7070,0.6527,-0.0564,0.96
1.533842,-0.5115,0.5809,0.0536,0.78
1.547547,-0.3477,0.5164,0.1409,0.64
1.565065,-0.0673,0.3366,0.3717,0.51
1.565965,0.0297,0.2651,0.4782,0.55
1.590634,0.2240,0.1917,0.5146,0.59
1.591181,0.3238,0.1241,0.5096,0.62
1.604900,0.5805,0.0518,0.4773,0.75
1.606080,0.6014,0.0565,0.4780,0.77
1.619258,0.5564,0.0466,0.5501,0.78
1.633682,0.4713,0.0156,0.6193,0.78
1.638083,0.3340,-0.0253,0.6375,0.72
1.648245,0.2594,-0.0792,0.5367,0.60
1.654141,0.1096,-0.0583,0.5039,0.52
1.663469,0.1365,-0.0132,0.4680,0.49
1.680056,0.0939,0.1326,0.4991,0.52
1.686520,-0.0020,0.1567,0.5238,0.55
1.696893,-0.0738,0.1426,0.5248,0.55
1.712866,-0.2825,0.0609,0.5071,0.58
1.718345,-0.3086,0.0313,0.4766,0.57
1.729857,-0.2860,-0.0010,0.4106,0.50
1.734476,-0.2680,0.0145,0.3020,0.40
1.746540,-0.2330,0.0657,0.2753,0.37
1.763191,-0.1081,0.1848,0.2144,0.30
1.766729,-0.0863,0.2006,0.1517,0.27
1.780432,-0.0845,0.1138,0.1079,0.18
1.797421,-0.2804,-0.3082,-0.0280,0.42
1.798968,-0.4475,-0.5546,-0.0973,0.72
1.813651,-0.6469,-0.8064,-0.1855,1.05
1.814880,-0.7926,-0.9867,-0.2329,1.29
1.830073,-0.9972,-1.0383,-0.2398,1.46
1.838982,-1.4376,-0.6649,-0.2161,1.60
1.847182,-1.5913,-0.2765,-0.1914,1.63
1.854934,-1.7552,0.0411,-0.1295,1.76
1.863442,-1.8644,0.3595,-0.0334,1.90
1.880373,-2.2954,0.7811,0.3663,2.45
1.887202,-2.4317,0.8253,0.5855,2.63
1.897009,-2.7128,0.8458,0.8515,2.97
1.903225,-2.9010,0.7658,0.8352,3.11
1.913471,-2.9385,0.7360,0.8391,3.14
1.930080,-2.9127,0.6862,1.2777,3.25
1.941781,-2.8173,0.5307,1.5971,3.28
1.960061,-2.7693,0.2638,1.8991,3.37
1.960684,-2.8858,-0.0519,1.9769,3.50
1.982433,-3.2664,-0.9669,1.7659,3.84
1.983462,-3.4477,-1.2101,1.5725,3.98
1.983994,-3.3855,-1.2035,1.3863,3.85
1.997836,-3.1563,-1.0694,1.3146,3.58
2.011786,-2.7564,-0.8492,1.3646,3.19
2.027102,-1.5698,-0.6151,2.4670,2.99
2.027540,-0.6510,-0.6405,3.8068,3.91
2.041818,0.0471,-0.6734,5.0609,5.11
2.057025,0.5966,-0.3943,5.5903,5.64
2.057527,0.6073,-0.1446,4.3745,4.42
2.071243,0.5928,0.1656,2.8278,2.89
2.085876,0.6620,0.6154,0.5706,1.07
2.087869,1.0323,0.7469,-0.7434,1.48
2.100117,1.5203,0.8528,-2.5344,3.08
2.103913,1.3013,0.6471,-2.8020,3.16
2.114876,1.0711,0.3130,-3.0422,3.24
2.129827,1.1103,-0.5878,-3.1270,3.37
2.135841,1.2436,-1.2146,-3.2257,3.66
2.146674,1.4226,-1.7426,-2.8041,3.59
2.163479,0.7943,-2.9374,-2.0211,3.65
2.168032,-0.0661,-3.3962,-0.0434,3.40
2.180430,-0.4687,-3.6448,2.3130,4.34
2.184454,0.1141,-3.5020,2.3218,4.20
2.196962,0.4190,-3.2383,0.8741,3.38
2.213282,0.4774,-1.6133,-2.3029,2.85
2.216661,0.7742,-0.9012,-1.6085,2.00
2.229695,1.1982,-0.4641,-0.9178,1.58
2.246372,1.3468,-0.2062,-0.5474,1.47
2.248445,1.6620,0.0484,-1.3705,2.15
2.262925,1.7209,0.2373,-2.0657,2.70
2.264532,1.6152,0.1552,-2.4779,2.96
2.279438,1.5585,0.1386,-2.6677,3.09
2.289455,0.7179,0.2776,-2.1192,2.25
2.297283,0.5360,0.4405,-1.7664,1.90
2.304508,0.3325,0.6317,-1.6878,1.83
2.317717,0.0534,0.8927,-1.7242,1.94
2.330632,0.2724,1.0477,-1.7071,2.02
2.336797,0.0815,1.1598,-1.8616,2.19
2.346560,-0.0624,1.0984,-1.9889,2.27
2.353077,0.1464,0.9073,-2.3052,2.48
2.369750,0.3204,0.7574,-2.4557,2.59
2.387825,0.8168,0.5833,-2.4269,2.63
2.388320,1.1308,0.5565,-2.1305,2.48
2.402936,1.4885,0.5039,-1.9988,2.54
2.403371,1.8088,0.5434,-2.0141,2.76
2.417462,1.9811,0.5187,-1.9775,2.85
2.432322,2.0500,0.4041,-1.7242,2.71
2.433241,1.8233,0.4234,-1.4727,2.38
2.447349,1.5315,0.3831,-1.1903,1.98
2.462674,0.6749,0.2943,-0.3538,0.82
2.465428,0.2268,0.2935,0.2329,0.44
2.479272,-0.3158,0.5524,0.3130,0.71
2.495838,-1.3621,1.0233,1.0039,1.98
2.497501,-1.9236,1.1993,1.7539,2.87
2.513098,-2.4531,1.3576,2.3101,3.63
2.513834,-3.2320,1.4543,2.6743,4.44
2.530004,-4.3434,1.0767,2.8739,5.32
2.537653,-4.2664,0.7208,2.6323,5.06
2.546003,-3.6090,0.3981,2.7626,4.56
2.553724,-2.4856,0.1181,3.4802,4.28
2.569642,-0.5157,0.1534,4.1267,4.16
2.579302,0.3629,0.4961,4.2570,4.30
2.585728,0.8999,0.7709,4.1322,4.30
2.596250,1.1514,1.0484,3.5713,3.90
2.612537,0.6887,0.9910,3.2866,3.50
2.617922,0.3427,-0.1523,0.6987,0.79
2.629374,-0.0313,-1.8778,-0.6650,1.99
2.634084,0.5465,-4.4535,0.2570,4.49
2.645872,1.1312,-6.5178,1.4092,6.76
2.662312,1.2198,-7.8528,-3.2584,8.59
2.666106,2.4157,-5.2773,-3.7978,6.94
2.679173,4.2796,-1.9957,-3.6489,5.97
2.695855,4.9003,0.6622,-3.5448,6.08
2.698284,4.0308,0.8744,-3.2780,5.27
2.712567,2.9382,0.6514,-3.5378,4.64
2.714388,1.4298,0.2865,-3.9739,4.23
2.740854,0.2409,-0.2203,-4.1023,4.12
2.741635,-0.6905,-0.8985,-4.0672,4.22
2.753323,-1.9812,-1.5565,-4.3532,5.03
2.754562,-2.0721,-1.6453,-4.7347,5.42
2.766422,-1.9552,-1.6226,-5.3159,5.89
2.790742,-3.2827,-0.9220,-6.6625,7.48
2.791220,-3.6376,-0.3282,-7.0391,7.93
2.804629,-3.0790,0.1074,-7.0141,7.66
2.805050,-2.4563,0.3766,-6.4803,6.94
2.819417,-2.0936,0.7415,-5.8377,6.25
2.834569,-1.6034,1.1993,-4.8594,5.26
2.835011,-1.4194,1.1321,-4.2761,4.65
2.849204,-1.2959,1.0370,-3.8797,4.22
2.863790,-0.6875,0.6514,-3.2208,3.36
2.866860,-0.2924,0.6180,-2.6518,2.74
2.878991,0.1363,0.5168,-0.3728,0.65
2.895830,1.8945,0.3854,5.6616,5.98
2.899052,2.0823,0.4166,7.1748,7.48
2.912438,1.6171,0.5612,6.1972,6.43
2.915358,1.3905,0.7292,3.2560,3.61
2.928846,1.3097,0.7555,1.2075,1.93
2.945468,0.6298,0.6702,-0.2714,0.96
2.947235,0.3033,0.7619,-0.3341,0.89
2.962020,0.1763,0.8436,-0.3439,0.93
2.963234,0.0609,1.0447,-0.4704,1.15
2.979252,-0.2913,1.5075,-0.9923,1.83
2.987299,-0.5996,1.6645,-0.9363,2.00
2.995925,-0.6910,1.7496,-0.5667,1.96
3.003128,-0.5588,1.8023,-0.2034,1.90
3.019738,-0.3550,1.2403,0.3126,1.33
3.028962,-0.2844,0.8752,0.0649,0.92
3.035442,-0.3216,0.4690,-0.3353,0.66
3.045557,-0.4618,0.1246,-0.4181,0.64
3.062156,-0.6194,-0.7347,-0.2441,0.99
3.067433,-0.6516,-1.0474,-0.1892,1.25
3.078891,-0.6516,-1.1554,-0.0993,1.33
3.083639,-0.6049,-1.1825,-0.0443,1.33
3.095465,-0.6419,-1.1508,0.2732,1.35
3.124370,-0.8815,-1.1465,0.5914,1.56
3.124950,-1.0428,-1.0449,0.7790,1.67
3.125638,-1.2285,-0.9789,1.1340,1.94
3.137033,-1.5820,-0.8310,1.4129,2.28
3.151216,-2.4578,-0.6815,1.9807,3.23
3.173460,-2.9314,-0.4908,2.2208,3.71
3.189406,-4.3423,0.1396,5.3750,6.91
3.204805,-4.6494,0.9746,6.0405,7.68
3.205289,-4.6228,1.2636,4.9605,6.90
3.220186,-4.7175,1.0035,3.3784,5.89
3.235166,-5.3753,-0.6194,1.2716,5.56
3.236285,-5.5127,-1.1448,0.4457,5.65
3.250118,-5.3567,-1.3969,0.1098,5.54
3.264970,-4.5253,-1.3838,0.5629,4.77
3.268271,-4.3633,-1.1266,0.4011,4.52
3.279939,-3.7095,-0.7868,0.1240,3.79
3.284396,-2.7198,-0.5639,-0.1436,2.78
3.295476,-1.5596,-0.0171,-0.2245,1.58
3.311787,0.7817,1.0489,-0.9029,1.59
3.316670,1.9918,0.9851,-1.0430,2.45
3.328417,3.3350,0.3739,-1.0546,3.52
3.345572,3.0514,-2.2893,-1.4355,4.08
3.348809,2.0079,-4.1798,-2.1596,5.12
3.361904,1.4144,-5.8800,-2.4405,6.52
3.364785,0.9851,-7.6959,-2.3222,8.10
3.378548,0.6339,-9.3027,-0.7879,9.36
3.395059,1.3625,-8.8036,-0.4594,8.92
3.396913,1.1924,-6.5818,0.1939,6.69
3.411717,1.3345,-4.3096,1.9308,4.91
3.420883,2.8431,-1.1852,0.8844,3.20
3.429822,3.1966,-0.0614,-0.4602,3.23
3.437177,3.5436,0.7925,-1.7909,4.05
3.445648,3.9393,1.6689,-3.1228,5.30
3.461940,4.4766,2.5697,-5.5910,7.61
3.469192,4.3816,2.7950,-5.9536,7.90
