time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009611,0.0074,0.0806,-0.1594,0.18
0.009812,-0.0028,0.0456,-0.1456,0.15
0.026011,-0.0664,0.0585,-0.0193,0.09
0.031896,0.0406,0.0006,0.0252,0.05
0.044593,0.0274,-0.0211,-0.0552,0.07
0.068541,-0.0793,0.0457,-0.2435,0.26
0.068754,-0.0862,0.0531,-0.2615,0.28
0.077943,-0.0786,0.0562,-0.3022,0.32
0.079113,-0.0589,0.0763,-0.2695,0.29
0.095446,-0.1016,0.2030,-0.1890,0.30
0.103116,-0.1950,0.2638,-0.1969,0.38
0.111525,-0.3057,0.2998,-0.0198,0.43
0.119547,-0.2920,0.3105,0.0579,0.43
0.135615,-0.0955,0.1865,0.1309,0.25
0.145294,-0.0786,0.1173,0.1582,0.21
0.151797,-0.1525,0.0502,0.0749,0.18
0.162423,-0.2234,0.0139,0.0104,0.22
0.180599,-0.2697,0.1164,-0.0026,0.29
0.183847,-0.3053,0.1929,-0.0118,0.36
0.197488,-0.1194,0.2004,-0.0001,0.23
0.200026,0.0956,0.2254,-0.1113,0.27
0.213361,0.1699,0.4641,0.0062,0.49
0.228049,0.4325,0.3063,-0.1675,0.56
0.232255,0.4261,0.6146,0.0005,0.75
0.244578,0.4437,0.5149,-0.1888,0.71
0.262301,0.7112,0.2784,-0.5849,0.96
0.264095,0.6195,0.1936,-0.4657,0.80
0.280459,0.6005,0.5173,0.1106,0.80
0.280778,0.7421,0.3802,0.1881,0.85
0.297077,0.4423,0.4511,0.4430,0.77
0.304526,0.0654,0.4097,1.0530,1.13
0.312612,-0.1824,0.4563,1.1522,1.25
0.320539,-0.1536,0.4893,1.2686,1.37
0.336230,0.0710,0.3690,1.4853,1.53
0.344770,0.2341,-0.0095,1.7304,1.75
0.352493,0.3927,-0.4319,1.9005,1.99
0.362489,0.3749,-0.8570,2.0070,2.21
0.379870,0.3623,-0.6269,2.3252,2.44
0.384665,0.2749,-0.4592,2.3209,2.38
0.396518,0.1625,-0.2118,2.0290,2.05
0.400700,0.2472,-0.2757,1.5862,1.63
0.412528,0.3304,-0.0446,1.0475,1.10
0.429845,0.2937,0.4631,-0.3281,0.64
0.432994,0.3164,0.4441,-0.7258,0.91
0.445212,0.4805,0.2994,-0.8520,1.02
0.460714,0.7027,-0.1830,-0.7671,1.06
0.465045,1.1448,-0.6663,-0.7135,1.50
0.477077,1.4333,-1.1248,-0.2262,1.84
0.481466,1.5703,-1.3949,0.2414,2.11
0.496305,1.4092,-1.4210,0.5471,2.07
0.513539,1.7006,-1.1051,0.2562,2.04
0.513869,1.6113,-0.6413,-0.1450,1.74
0.527386,2.1128,-0.0584,-0.9085,2.30
0.529359,3.4136,1.0951,-1.6648,3.95
0.545435,3.9712,4.2219,-2.4512,6.29
0.553068,3.2067,4.5317,-2.3400,6.02
0.561539,3.4901,3.4521,-1.9306,5.27
0.569226,3.5807,2.7135,-0.2993,4.50
0.585645,3.0659,2.7969,4.0736,5.82
0.597741,1.0839,3.3416,4.8210,5.97
0.601786,-0.8853,2.8210,4.1471,5.09
0.613736,-2.4974,1.3492,2.4628,3.76
0.630236,-3.4606,-1.1699,1.6231,4.00
0.633615,-3.8624,-2.3419,1.4660,4.75
0.648055,-4.5115,-3.0413,1.4102,5.62
0.649936,-4.6568,-2.9499,0.3291,5.52
0.664245,-4.6128,-2.6267,-0.6993,5.35
0.680744,-4.7037,-1.4222,-0.8359,4.98
0.682033,-4.6192,-1.4216,-0.3191,4.84
0.695330,-4.2670,-1.6410,0.0688,4.57
0.711447,-2.5750,-2.7604,0.0906,3.78
0.713785,-1.3782,-3.4610,-0.0326,3.73
0.728303,-0.4875,-3.5202,0.0617,3.55
0.733464,-0.8405,-2.0087,0.5076,2.24
0.743982,-1.3329,-0.6509,0.5205,1.57
0.769945,-2.4501,1.6985,-0.0292,2.98
0.785772,0.2546,1.3210,1.6994,2.17
0.793976,2.2395,0.4915,2.0890,3.10
0.801720,3.2537,0.1401,1.7824,3.71
0.810670,3.1056,0.2247,0.8062,3.22
0.828284,0.5023,1.5201,-0.6205,1.72
0.834208,0.2882,1.8429,-0.5343,1.94
0.844506,0.2566,2.2440,-0.5076,2.31
0.850590,0.2729,2.4597,-0.6421,2.56
0.861246,0.2793,2.6830,-0.5921,2.76
0.879097,-0.0044,2.9348,0.2756,2.95
0.882180,-0.4039,2.7581,1.4181,3.13
0.894476,-0.5903,2.4387,2.2154,3.35
0.911542,-0.8150,1.9696,2.2733,3.12
0.914382,-0.9919,1.8893,1.9272,2.88
0.927873,-1.2899,1.9977,1.2425,2.68
0.930623,-1.4685,2.2836,0.2355,2.73
0.943997,-1.4998,2.7216,-0.9851,3.26
0.961847,-1.2577,3.1598,-1.3570,3.66
0.962618,-1.5113,3.1091,-0.1279,3.46
0.978921,-1.8363,2.7489,0.8652,3.42
0.995198,-2.2528,1.6236,0.8070,2.89
0.995563,-2.3437,1.5070,-0.1570,2.79
1.002853,-1.9178,1.4591,-1.3127,2.74
1.011666,-1.8277,1.6332,-1.9994,3.16
1.026964,-2.0073,1.7226,-1.9273,3.27
1.035433,-2.1106,1.2966,-1.2258,2.76
1.044159,-2.1772,0.4834,-0.3672,2.26
1.051080,-2.1707,-0.3964,0.5430,2.27
1.061865,-2.1969,-1.6013,1.8772,3.30
1.079417,-2.2540,-3.5234,2.1749,4.71
1.083120,-2.2383,-4.0284,1.2329,4.77
1.096674,-1.8750,-4.5028,0.4918,4.90
1.113012,-1.2004,-5.2442,0.1157,5.38
1.115392,-1.1818,-5.0907,0.5149,5.25
1.128455,-1.0047,-4.7313,1.9576,5.22
1.131355,-0.3164,-4.8269,3.7714,6.13
1.144029,0.7370,-5.2505,5.6149,7.72
1.161089,2.6711,-6.0679,4.8148,8.19
1.163136,3.1076,-5.7872,2.5147,7.03
1.176457,3.6504,-5.2159,1.1656,6.47
1.194097,5.3578,-3.5462,-0.8304,6.48
1.195517,6.3060,-3.0030,-1.4636,7.14
1.212102,6.1623,-2.4652,-0.2927,6.64
