time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.010439,0.3518,-0.2297,-0.2426,0.49
0.021978,0.1633,-0.2049,0.1823,0.32
0.032296,0.0140,-0.0515,-0.0409,0.07
0.035491,-0.0839,-0.0103,0.1507,0.17
0.045404,0.0089,-0.0076,0.0606,0.06
0.060879,0.1967,0.0140,-0.2307,0.30
0.067833,0.2131,0.0935,-0.2539,0.34
0.082437,0.2241,0.1663,-0.2983,0.41
0.094959,-0.0700,0.1623,0.0902,0.20
0.100095,-0.2812,0.2518,0.0921,0.39
0.112255,-0.5412,0.3258,0.1179,0.64
0.115808,-0.6771,0.3515,0.1496,0.78
0.129299,-0.5216,0.2763,0.1148,0.60
0.145459,0.0173,0.1129,-0.2114,0.24
0.148234,0.1294,0.0371,0.0993,0.17
0.161532,0.0488,0.0438,0.0567,0.09
0.163968,-0.0052,0.1875,-0.1041,0.21
0.180700,-0.1199,0.2909,-0.0425,0.32
0.197297,-0.2477,0.5230,-0.1175,0.59
0.197650,-0.2157,0.4583,-0.1337,0.52
0.212508,-0.0725,0.5656,-0.4531,0.73
0.229554,0.1832,-0.2558,0.0907,0.33
0.230083,0.5617,-0.6650,-0.1501,0.88
0.246409,0.1750,-0.7708,0.1689,0.81
0.246809,-0.0625,-0.5822,-0.0361,0.59
0.261695,-0.1021,-0.0099,0.0862,0.13
0.269232,-0.1990,0.1319,0.0937,0.26
0.278852,-0.2991,0.1666,0.1326,0.37
0.284791,-0.3176,0.0886,0.0445,0.33
0.294526,-0.1634,-0.0233,-0.1182,0.20
0.312423,0.3412,-0.1450,-0.0944,0.38
0.316986,0.4446,-0.0826,0.0210,0.45
0.329523,0.4231,0.1429,0.1290,0.46
0.346888,0.1568,0.6105,0.1660,0.65
0.348793,0.0880,0.8105,0.0675,0.82
0.370453,0.0378,0.9296,0.0079,0.93
0.370718,-0.2328,0.9269,0.0524,0.96
0.380142,-0.1434,0.6571,-0.0629,0.68
0.393847,0.4719,1.6932,-0.2215,1.77
0.396662,1.2516,0.6560,-0.1616,1.42
0.412363,1.7612,-0.7703,-0.1583,1.93
0.428770,0.4839,-2.0670,0.4357,2.17
0.429139,-0.8121,-1.4782,1.0698,2.00
0.445390,-1.6107,-0.9417,1.3168,2.28
0.445689,-1.0372,-0.2625,1.1319,1.56
0.461654,-0.4103,0.1591,0.8538,0.96
0.478454,-0.5914,0.8186,0.3367,1.06
0.478842,-0.4565,0.9501,0.0696,1.06
0.485391,0.1288,1.1035,0.0464,1.11
0.496069,0.4325,1.0695,0.1256,1.16
0.512863,1.2925,1.3496,0.3288,1.90
0.517670,1.3715,0.5478,0.2400,1.50
0.529870,1.1220,-0.1230,0.1653,1.14
0.545431,0.9528,-0.0935,-0.1130,0.96
0.550089,0.5866,-0.3234,-0.0363,0.67
0.562816,0.0371,0.4197,-0.3674,0.56
0.565631,0.3635,1.2453,-0.3781,1.35
0.580031,1.1460,1.6571,-0.5097,2.08
0.596017,2.0668,2.2508,-1.6451,3.47
0.598081,1.4594,1.7193,-1.1233,2.52
0.614144,1.3371,1.2380,0.0275,1.82
0.614558,1.6572,0.9072,0.9683,2.12
0.629430,1.9350,0.3522,0.8228,2.13
0.647180,1.8743,-0.3245,0.1070,1.91
0.647519,1.4701,0.2060,-0.2164,1.50
0.662198,1.2051,1.1456,-0.6585,1.79
0.678196,2.4865,1.9895,1.8964,3.71
0.678552,2.0548,2.4349,2.3751,3.97
0.696717,0.2778,1.8177,1.8614,2.62
0.697045,-2.8085,1.3051,1.5468,3.46
0.714235,-4.4359,-1.7259,1.3015,4.93
0.718588,-4.2179,-3.6356,0.8847,5.64
0.729171,-3.4398,-4.8435,-0.8743,6.00
0.734870,-2.9142,-6.2461,-2.2306,7.24
0.746422,-2.8605,-5.1883,-5.1244,7.83
0.762966,-5.2595,-4.9090,-4.7229,8.61
0.766785,-2.8936,-5.1824,1.2611,6.07
0.779094,2.6801,-4.3024,5.3691,7.38
0.795926,9.2502,-1.7692,6.0147,11.17
0.798769,7.1452,0.2314,3.6914,8.05
0.813719,3.8809,1.5939,1.7117,4.53
0.815175,1.8068,1.9326,0.9074,2.80
0.828729,0.9189,1.6924,0.7980,2.08
0.845968,2.2040,0.4147,-0.0028,2.24
0.847210,3.4069,-0.4599,-0.6612,3.50
0.862502,3.7236,-1.0701,-0.8884,3.97
0.879099,3.1224,-1.0887,-0.9455,3.44
0.879568,2.1683,-0.6788,-0.5018,2.33
0.895680,1.6065,-0.4987,0.0956,1.68
0.896023,1.2250,-0.3968,0.6241,1.43
0.912182,0.6234,-0.3845,1.1449,1.36
0.919561,-0.0577,-0.6190,1.2283,1.38
0.939698,0.0287,-0.8816,0.6315,1.08
0.940090,0.2155,-1.1765,-0.0336,1.20
0.951234,0.0177,-1.1929,-0.3803,1.25
0.961612,-0.9090,0.1063,0.2788,0.96
0.967546,-0.7823,0.3061,0.4568,0.96
0.977977,-0.6586,0.3855,0.2386,0.80
0.993664,-0.4576,0.7268,-0.9884,1.31
0.999556,-0.4850,0.7998,-1.2103,1.53
1.011183,-0.8597,1.0988,-0.8545,1.64
1.015572,-0.6573,0.8794,-0.6569,1.28
1.027359,-0.6330,1.0563,-0.4946,1.33
1.043925,-0.2649,0.5656,-0.7720,0.99
1.047762,-0.0621,-0.0128,-0.6368,0.64
1.061554,-0.3013,-0.1237,-0.3104,0.45
1.063887,-0.3755,-0.3354,-0.4394,0.67
1.078460,-0.0826,-0.6433,-0.3638,0.74
1.094639,0.0459,0.1270,-0.2653,0.30
1.095635,-0.1771,0.5784,-0.3147,0.68
1.111164,-0.3063,1.0253,-0.2663,1.10
1.127266,-0.7384,1.4626,0.0289,1.64
1.128474,-0.8006,1.4487,0.3820,1.70
1.145041,-0.7950,1.2549,0.6380,1.62
1.145447,-0.6995,1.0768,0.8877,1.56
1.161316,-0.6642,0.9309,1.0804,1.57
1.168517,-0.5117,0.8724,1.6227,1.91
1.178359,-0.5500,1.0431,2.1698,2.47
1.184576,-0.3295,1.3092,2.9544,3.25
1.196608,0.0911,1.4727,3.7240,4.01
1.212983,1.2724,1.5324,3.6024,4.12
1.216622,1.3942,1.6533,2.4192,3.24
1.229511,1.1801,1.7418,0.8857,2.28
1.245964,0.6697,1.6054,-1.1038,2.06
1.248495,0.4785,1.1558,-1.6126,2.04
1.262056,0.3526,0.3623,-1.7243,1.80
1.264427,0.3473,-0.5915,-1.4961,1.65
